77,needs,"meet (verb)
 individual
 suit (verb)
 satisfy
 Strong"
78,effect,"have
 cause+ N
 take
 knock-on
 direct
 immediate
 dramatic
 desired
 beneficial
 profound
 devastating
 opposite
 overall
 adverse
 Detrimental"
79,effects,"long-term
 harmful
 adverse
 direct
 beneficial
 damaging
 Profound"
80,use,"drug
 make
 good (make good/full N of)
 widespread
 full
 Extensive"
81,uses,common
82,idea,"whole
 give (an)
 get
 rejected
 original
 faintest
 simple
 wrong
 put (forward/aside the + N)
 form
 developed "
83,ideas,"exchange
 original
 fresh
 Bright"
84,study,"present + N
 N + found
 recent
 pilot
 showed
 carried
 conducted
 research
 major
 reported
 undertaken
 designed
 significant "
85,lot,"awful
 Whole"
86,job,"do
 good
 get
 part-time
 lost
 find
 quit
 full-time
 finish
 leave
 Proper"
87,jobs,"create
 lost
 temporary
 do
 odd
 save
 shed (number)
 secure
 permanent
 unskilled
 Full-time"
88,name,"real
 given
 put
 full
 proper
 second
 Last"
89,names,"give
 call (someone's N)"
90,result,"direct
 final
 net
 achieve
 inevitable
 produce
 overall
 further
 poor
 significant
 Desire"
91,body,"upper
 dead
 N + lay
 naked
 Lower"
92,friend,"best
 close
 old
 family
 made N in"
93,friends,"family
 close
 old
 make
 became
 Real"
94,right,vote + N
95,rights,"pension
 full
 Minority"
96,authority,"given (give + N)
 exercise + N or someone's + N
 Legitimate"
97,view,"take (the + N)
 shared
 full
 expressed
 support
 give
 clear
 held
 (give) a true (and fair)
 Accept"
98,report,"full
 Final
N+ released
 Issue"
99,bit,wee (Scottish) 
100,face,"pale
 slap + (someone's) + N
 pretty
 turned
 round
 flushed
 beautiful
 smiling
 Handsome"
101,market,"Free
 housing
 major"
102,hour,"spent
 took
 late
 early
 N + passed
 Finest"
103,hours,"spent
 early (N of the morning)
 working
 long
 took
 permitted
 small
 normal
 daylight
 school
 put in
 late
 Flying"
104,rate,"fixed
 Inflation
 Low"
105,law,"Beaking
 passed
 Enforce"
106,door,"Knock
 slammed
 N + swung (open)
 pushed
 pulled
 flung (open) N"
107,court,"told (the N)
 heard
 ruled
 appear (in)
 held
 take obj to"
108,office,"Took
 Held"
109,war,"End
 declared
 N+ broke (out)
 fought"
110,reason,"(for the) simple
 (there is) real
 (for no) apparent
 given a reason
 major
 sufficient
 (for some) unknown"
111,minister,"Appointed
 junior
 elected"
112,person,"missing
average
 single
 disabled
 Elderly
Authorised"
113,terms,"practical
 general
 agreed (to the N)
 broad
 (on) equal
 (in) absolute
 accept
 Relative"
114,sorts,all
115,period ,"Minimum
 extended
 trial
 limited
 prolonged
 considerable
 maximum"
116,society,"modern
 whole
 classless
 High"
117,process,"whole
 involved
 decision-making
 continuous
 complete
 gradual
 Lengthy"
118,mother,"single
 Foster"
119,voice,"low
 loud
 soft
 deep
 quiet
 high
 lowered 
raised
 clear
 husky
 harsh
 hoarse
 cracked
 Sharp"
120,police,"Called
 questioned"
121,price,"high
 retail
 average
 low
 increase
 expected
 full
 fixed
 reasonable
 fair
 put
 reduced
 Competitive"
122,action,"take
 further
 call for N
 immediate
 strike
 direct
 appropriate
 urgent
 drastic
 libel
 joint
 Remedial"
123,issue,"big
 major
 raised (an N)
 key
 sensitive
 central
 take N
 crucial
 Fundamental
controversial
 serious
 complex
 N was resolved "
124,position,"strong
 hold
 difficult
 marginal
 dominant
 placed (in)
 maintain
 privileged
 competitive
 leading
 strengthen
 Reached"
125,cost,"low
 effective
 extra
 total
 high
 cover
 estimated
 additional
 meet
 reduced
 Reasonable"
126,matter,"simple
 further
 serious
 referred
 raised
 Resolved"
127,figure,"leading
 tall
 central
 high
 public
 major
 low
 Increase"
128,figures ,"released
 official
 leading
 Public"
129,type,"particular
 certain
 common
 Media"
130,research ,"shows
 done
 suggests
 Further
 carried
 conducted
 Future"
131,education ,"further
 Public"
132,programme,"major
 full
 launched
 extensive
 current
 completed
 run
 Ambitious"
133,minute ,"hang
 take
 hold
 Full"
134,moment,"right
 long
 paused
 took
 brief
 Precise"
135,girl ,"beautiful
 Pretty"
136,age,"early
 golden
 retirement
 maternal
 Reached"
137,ages,dark
138,centre,"Entertainment
 (day) care"
139,control ,"take
 lost
 have
 complete
 total
 gain
 regain
 full
 keep
 effective
 direct
 exercise
 tight
 retain
 strict
 Overall
 maintain"
140,value,"good N (for money)
 great
 added
 total
 real
 high
 equal
 increase
 full
 add
 true
 estimated
 Critical
Fair"
141,health,"mental
 poor
 medical
 Improve"
142,decision,"made
 final
 taken
 court
 announced
 conscious
 unanimous
 follows
 reached
 support
 came
 Reversed"
143,force,"use
 military
 driving
 peacekeeping
 excessive
 full
 dominant
 powerful
 strong
 armed
 Brute"
144,forces,"security
 joined
 Opposition"
145,condition,"good
 serious
 medical
 critical
 stable
 excellent
poor
 immaculate
 sufficient
 Deteriorated
Perfect"
146,conditions,"weather
 living
 working
 improve
 appalling
 poor
 satisfied (verb)
 favourable
 impose
 prevailing
 adverse
 meet
 Fulfilled"
147,paper,printed
148,section,"previous
 final
 separate
 Further"
149,patients,treated
150,road,"main
 cross
 busy
 major
 line (the N with people)"
151,table,"league
 lay the N"
152,church,"whole
 Established"
153,mind,"bear
 keep
 open (adj)
 had
 crossed
 Conscious
came (to/into N)"
154,team,"dream
 national
 winning
 N + won
 led
 beat
 support + N"
155,experience,"previous
 practical
 gain
 learning
 relevant
 working
 extensive
 past
 direct
 Valuable"
156,death,"sudden
 accidental
 caused
 Tragic"
157,act,"criminal
 passed
 Amended"
158,sense,"make
 strong
 real
 false
 True"
159,staff,"trained
 support
 extra
 permanent
 qualified
 Experienced"
160,student,former
161,language,"foreign
 use
 speak
 modern
 native
 Official"
162,morning,"early
 late
 spent
 Bright"
163,plan,"peace
 action
 radical
 approved
 strategic
 drawn up
 adopted
 ambitious
 Prepare"
164,product,"final
 make
 launch+ N
 competitive
 Create"
