24/7 (twenty-four-seven)
a bed of roses
a bird in the hand
a bird in the hand is worth two in the bush
a bit much
a bit too much
a blessing in disguise
a bolt from the blue
a brick in the wall
a bunch of fives
a burnt child dreads the fire
a cat may look at a king
a chain is only as strong as its weakest link
a cinch
a cut above
a dime a dozen
a double-edged sword
a drop in the ocean
a drowning man will clutch at a straw
a fair crack of the whip
a fish out of water
a fool and his money are easily parted
a foregone conclusion
a friend in need is a friend indeed
a golden key can open any door
a good man is hard to find
a hard nut to crack
a house divided against itself cannot stand
a house of cards
a leopard can’t change his spots
a little bird told me
a little knowledge is a dangerous thing
a little of what you fancy does you good
a lot on my plate
a man of action
a miss is as good as a mile
a month of Sundays
a needle in a haystack
a nod is as good as a wink
a penny saved is a penny earned
a picture is worth a thousand words
a piece of cake
a place for everything and everything in its place
a quick buck
a rainy day
a raw deal
a red rag to a bull
a rising tide lifts all boats
a rolling stone gathers no moss
a shot in the dark
a sight for sore eyes
a smooth sea never made a skilled sailor
a snowball’s chance in hell
a stitch in time saves nine
a tall order
a trip to the sun
a voice crying in the wilderness
a watched pot never boils
a wet blanket
a whale of
a whole new ball game
a whole raft of
ABC
about to
about-face
above board
absence makes the heart grow fonder
accidentally on purpose
according to
account for
ace in the hole
ace up one’s sleeve
Achilles heel
acid test
across the board
act of God
actions speak louder than words
ad hoc
Adam’s ale
add fuel to the flames
add insult to injury
after all
after blood
aftermath
against the clock
against the grain
ages
ahead of the curve
aid and abet
alive and kicking
all agog
all and sundry
all bark and no bite
all day long
all ears
all good things must come to an end
all Greek to me
all hat and no cattle
all hell will let loose
all in a day’s work
all in all
all is fair in love and war
all of a sudden
all over the place
all roads lead to Rome
all set
"all singing, all dancing"
all that glitters is not gold
all the best
all the rage
all the way up
all thumbs
all up
all’s well that ends well
alma mater
along the line
alpha and omega
alter ego
American hustle
an item
an olive branch
and all that jazz
and so on
ante up
ants in pants
anything but
apple of discord
apple of eye
apple pie order
apple polisher
apples to apples
apples to oranges
are you nuts
Argus-eyed
arm in arm
armed to the teeth
around the corner
arrive in a body
as a matter of fact
as a result
as an aside
as and when
as bald as a coot
as bold as brass
as broad as long
as busy as a bee
as calm as a toad in the sun
as clear as mud
as cold as stone
as different as chalk and cheese
as easy as pie
as far as
as for
as genuine as a three-dollar bill
as hard as nails
as high as a kite
as long as
as mad as a hatter
as nice as ninepence
as simple as that
as soon as
as the crow flies
as thick as thieves
as to
as well
as well as
ask out
at a crossroads
at a discount
at bay
at bottom
at cross purposes
at daggers drawn
at death’s door
at first glance
at home
at large
at length
at loggerheads
at odds
at one’s fingertips
at one’s wits’ end
at sea
at sixes and sevens
at stake
at the drop of a dime
at the drop of a hat
at the helm
at the same time
at the top of the heap
ate and left no crumbs
avant-garde
axe to grind
baby blues
back against the wall
back door
back down
back the wrong horse
back to basics
back to square one
back to the drawing board
back to the salt mines
back to the wall
backhanded compliment
backroom boy(s)
backseat driver
bad apple
bad blood
