running,water
clean,water
salt,water
still,water
shallow,water
application,form
order,form
booking,form
complete (verb),form
claim,form
fill,form
registration,form
take,form
(in) good,form
park (verb),car
hire,car
drive,car
police,car
racing,car
crashed,car
high,level
low,level
top,level
reached,level
intermediate,level
current,level
water,level
achieved,level
foreign,policy
monetary,policy
common,policy
made,policy
adopted,policy
direct,line
railway,line
draw (verb),line
straight,line
crossed,line
fine,line
take,line
dividing,line
urgent,need
feel,need
desperate,need
meet,need
stressed,need
N + arises,need
meet (verb),needs
individual,needs
suit (verb),needs
satisfy,needs
strong,needs
have,effect
cause+ N,effect
take,effect
knock-on,effect
direct,effect
immediate,effect
dramatic,effect
desired,effect
beneficial,effect
profound,effect
devastating,effect
opposite,effect
overall,effect
adverse,effect
detrimental,effect
long-term,effects
harmful,effects
adverse,effects
direct,effects
beneficial,effects
damaging,effects
profound,effects
drug,use
make,use
good (make good/full N of),use
widespread,use
full,use
extensive,use
common,uses
whole,idea
give (an),idea
get,idea
rejected,idea
original,idea
faintest,idea
simple,idea
wrong,idea
put (forward/aside the + N),idea
form,idea
developed,idea
exchange,ideas
original,ideas
fresh,ideas
bright,ideas
present + N,study
N + found,study
recent,study
pilot,study
showed,study
carried,study
conducted,study
research,study
major,study
reported,study
undertaken,study
designed,study
significant,study
awful,lot
whole,lot
do,job
good,job
get,job
part-time,job
lost,job
find,job
quit,job
full-time,job
finish,job
leave,job
proper,job
create,jobs
lost,jobs
temporary,jobs
do,jobs
odd,jobs
save,jobs
shed (number),jobs
secure,jobs
permanent,jobs
unskilled,jobs
full-time,jobs
real,name
given,name
put,name
full,name
proper,name
second,name
last,name
give,names
call (someone's N),names
direct,result
final,result
net,result
achieve,result
inevitable,result
produce,result
overall,result
further,result
poor,result
significant,result
desire,result
upper,body
dead,body
N + lay,body
naked,body
lower,body
best,friend
close,friend
old,friend
family,friend
made N in,friend
family,friends
close,friends
old,friends
make,friends
became,friends
real,friends
vote + N,right
pension,rights
full,rights
minority,rights
given (give + N),authority
exercise + N or someone's + N,authority
legitimate,authority
take (the + N),view
shared,view
full,view
expressed,view
support,view
give,view
clear,view
held,view
(give) a true (and fair),view
accept,view
full,report
final,report
N+ released,report
issue,report
wee (scottish),bit
pale,face
slap + (someone's) + N,face
pretty,face
turned,face
round,face
flushed,face
beautiful,face
smiling,face
handsome,face
free,market
housing,market
major,market
spent,hour
took,hour
late,hour
early,hour
N + passed,hour
finest,hour
spent,hours
early (N of the morning),hours
working,hours
long,hours
took,hours
permitted,hours
small,hours
normal,hours
daylight,hours
school,hours
put in,hours
late,hours
flying,hours
fixed,rate
inflation,rate
low,rate
beaking,law
passed,law
enforce,law
knock,door
slammed,door
N + swung (open),door
pushed,door
pulled,door
flung (open) N,door
told (the N),court
heard,court
ruled,court
appear (in),court
held,court
take obj to,court
took,office
held,office
end,war
declared,war
N+ broke (out),war
fought,war
(for the) simple,reason
(there is) real,reason
(for no) apparent,reason
given a reason,reason
major,reason
sufficient,reason
(for some) unknown,reason
appointed,minister
junior,minister
elected,minister
missing,person
average,person
single,person
disabled,person
elderly,person
authorised,person
practical,terms
general,terms
agreed (to the N),terms
broad,terms
(on) equal,terms
(in) absolute,terms
accept,terms
relative,terms
all,sorts
minimum,period
extended,period
trial,period
limited,period
prolonged,period
considerable,period
maximum,period
modern,society
whole,society
classless,society
high,society
whole,process
involved,process
decision-making,process
continuous,process
complete,process
gradual,process
lengthy,process
single,mother
foster,mother
low,voice
loud,voice
soft,voice
deep,voice
quiet,voice
high,voice
lowered,voice
raised,voice
clear,voice
husky,voice
harsh,voice
hoarse,voice
cracked,voice
sharp,voice
called,police
questioned,police
high,price
retail,price
average,price
low,price
increase,price
expected,price
full,price
fixed,price
reasonable,price
fair,price
put,price
reduced,price
competitive,price
take,action
further,action
call for N,action
immediate,action
strike,action
direct,action
appropriate,action
urgent,action
drastic,action
libel,action
joint,action
remedial,action
big,issue
major,issue
raised (an N),issue
key,issue
sensitive,issue
central,issue
take N,issue
crucial,issue
fundamental,issue
controversial,issue
serious,issue
complex,issue
N was resolved,issue
strong,position
hold,position
difficult,position
marginal,position
dominant,position
placed (in),position
maintain,position
privileged,position
competitive,position
leading,position
strengthen,position
reached,position
low,cost
effective,cost
extra,cost
total,cost
high,cost
cover,cost
estimated,cost
additional,cost
